,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
0,7.671058859267521e-07,0.0,0.0007156488549618321,0.028458580518824803,0.0,0.0,2020-11-09
1,5.4720219862774984e-05,8.008186145837967e-05,0.04341603053435114,0.028464463350216206,0.025439688946508984,0.5467289719626168,2020-11-09
2,1.8154839300266466e-05,8.89798460648663e-06,0.016698473282442748,0.028458580518824803,0.016884894359182466,0.18309859154929575,2020-11-09
3,6.392549049389601e-05,8.89798460648663e-06,0.05629770992366412,0.028461905597437335,0.028328603498043815,0.052000000000000005,2020-11-09
4,0.00024317256583878042,0.00042710326111135825,0.1827290076335878,0.02849362173189533,0.04227051134546695,0.6561514195583596,2020-11-09
5,0.2645768656718326,0.3858700004448992,0.0,0.2820193560499294,0.14372018104145784,0.5448474352184386,2020-11-09
6,3.3241255056825922e-06,0.0,0.003101145038167939,0.028458580518824803,0.027765791896386182,0.0,2020-11-09
7,0.00020584007939034515,0.0,0.16507633587786258,0.02848748312522604,0.18623746477839828,0.0,2020-11-09
8,9.12856004252835e-05,0.00022244961516216575,0.07848282442748092,0.028459347844658464,0.031428695910590866,0.9103641456582633,2020-11-09
9,3.3241255056825922e-06,8.89798460648663e-06,0.0028625954198473282,0.028458580518824803,0.01886884375131844,1.0,2020-11-09
10,0.01109439672619664,0.0070383058237309245,0.0,0.0393538400309795,0.17967792568407237,0.23700101410528257,2020-11-09
11,5.114039239511681e-07,0.0,0.00047709923664122136,0.028458580518824803,,,2020-11-09
12,0.01901271938269455,0.027049873203719356,0.0,0.04669919446133982,0.10540512249151696,0.5315042700558135,2020-11-09
13,0.0001807812871167379,5.338790763891978e-05,0.16579198473282442,0.028460115170492125,0.14195781058248597,0.11032531824611033,2020-11-09
14,0.0,0.0,0.0,0.028458580518824803,,,2020-11-09
15,0.015575317907856774,0.018160786581839214,0.0,0.04351632690331336,0.15097457917272272,0.43559561334384034,2020-11-09
16,7.671058859267521e-07,0.0,0.0007156488549618321,0.028458580518824803,0.0,0.0,2020-11-10
17,5.4720219862774984e-05,8.008186145837967e-05,0.04341603053435114,0.028464463350216206,0.025439688946508984,0.5467289719626168,2020-11-10
18,1.8154839300266466e-05,8.89798460648663e-06,0.016698473282442748,0.028458580518824803,0.016884894359182466,0.18309859154929575,2020-11-10
19,6.469259637982276e-05,8.89798460648663e-06,0.05629770992366412,0.028462672923270996,0.02868740877112012,0.05138339920948617,2020-11-10
20,0.00024854230704026765,0.00042710326111135825,0.1827290076335878,0.02849899301273096,0.0432386388877166,0.6419753086419753,2020-11-10
21,0.2693385476077419,0.38996307336388303,0.0,0.286664746646914,0.14633505203883007,0.5408922180133481,2020-11-10
22,3.3241255056825922e-06,0.0,0.003101145038167939,0.028458580518824803,0.027765791896386182,0.0,2020-11-10
23,0.0002081413970481254,0.0,0.16746183206106868,0.028487227349948154,0.18833719609061003,0.0,2020-11-10
24,9.179700434923467e-05,0.00022244961516216575,0.07848282442748092,0.028459859395214237,0.031613572839641696,0.9052924791086349,2020-11-10
